date,city_hmo,city_nog,city_obr,HQprcp_hmo,HQprcp_nog,HQprcp_obr,prcp_hmo,prcp_nog,prcp_obr
2021-03-19,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-20,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,Hermosillo,Heroica Nogales,Ciudad Obregón,0.4099999666213989,0.0,0.32999998331069946,0.0,0.0,0.0
2021-03-22,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.03500000014901161,0.0,0.3,0.0
2021-03-23,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.6,0.0
2021-03-24,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,1.055000066757202,0.0,0.3,0.0
2021-03-25,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.3999999761581421,0.0,0.0,0.0
2021-03-26,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-27,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-30,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
2021-03-31,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.04999999701976776,0.0,0.0,0.0
2021-04-02,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-03,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.34999996423721313,0.0,0.0,0.0,0.0
2021-04-04,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.13499999046325686,0.0,0.0,0.0
2021-04-06,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.10499999672174454,0.0,0.0,0.0
2021-04-07,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.02499999850988388,0.0,0.0,0.0
2021-04-08,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-09,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-10,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-12,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-15,Hermosillo,Heroica Nogales,Ciudad Obregón,0.239999994635582,0.0,0.029999999329447743,0.0,0.0,0.0
2021-04-16,Hermosillo,Heroica Nogales,Ciudad Obregón,0.14499999582767487,0.004999999888241291,0.1899999976158142,0.0,0.0,0.0
2021-04-17,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.11499999463558196,0.0,0.0,0.0
2021-04-18,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-22,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.059999998658895486,0.0,0.0,0.0,0.0
2021-04-24,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,5.644999980926514,0.03999999910593033,0.0,1.9,0.0
